Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula,Variant
CM1,F1,0.358974358974359,0.24901006569660888,0.8484848484848485,0.5,0.4267459067940983,1,x4,1. Standard
CM1,F1,0.358974358974359,0.24901006569660888,0.8484848484848485,0.5,0.4267459067940983,1,x4,2. Seeding
CM1,F1,0.358974358974359,0.24901006569660888,0.8484848484848485,0.5,0.4267459067940983,1,x4,3. RL
CM1,F1,0.358974358974359,0.24901006569660888,0.8484848484848485,0.5,0.4267459067940983,1,x4,4. RL + Seeding
JM1,F1,0.42349726775956287,0.2293189578015591,0.6580310880829016,0.41333333333333333,0.21562427414784063,3,(x19 add x18),1. Standard
JM1,F1,0.43061289298189903,0.25157121830018686,0.711139896373057,0.4282051282051282,0.2494868857058827,3,(x0 add x18),2. Seeding
JM1,F1,0.43061289298189903,0.25157121830018686,0.711139896373057,0.4282051282051282,0.2494868857058827,3,(x18 add x0),3. RL
JM1,F1,0.43061289298189903,0.25157121830018686,0.711139896373057,0.4282051282051282,0.2494868857058827,3,(x18 add x0),4. RL + Seeding
KC1,F1,0.4834123222748815,0.2618161031211092,0.6351931330472103,0.4720496894409938,0.24214185372239042,3,(x18 sub x2),1. Standard
KC1,F1,0.4974271012006861,0.2914536591354508,0.6566523605150214,0.4594594594594595,0.23286113432646996,3,(x16 sub x2),2. Seeding
KC1,F1,0.4849557522123894,0.2769320854001626,0.6523605150214592,0.47058823529411764,0.24538731955303308,3,(x16 add x9),3. RL
KC1,F1,0.48507462686567165,0.28496870453002954,0.6738197424892703,0.45714285714285713,0.23811318150709307,3,(x10 add x9),4. RL + Seeding
KC3,F1,0.5,0.3739630627469927,0.8717948717948718,0.6666666666666666,0.589745927681226,9,sin((x3 sub (exp(x38) add (x0 sub x37)))),1. Standard
KC3,F1,0.5098039215686274,0.42112643887080076,0.8974358974358975,0.6,0.6172133998483676,5,((2.868 sub x12) div x3),2. Seeding
KC3,F1,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3,3. RL
KC3,F1,0.49056603773584906,0.3891519897487005,0.8717948717948718,0.4444444444444444,0.49709581280096005,1,x3,4. RL + Seeding
MC1,F1,0.1702127659574468,0.18235243921627367,0.9386189258312021,0.14285714285714285,0.13894681102070472,2,log(x3),1. Standard
MC1,F1,0.1702127659574468,0.18235243921627367,0.9386189258312021,0.14285714285714285,0.13894681102070472,2,log(x3),2. Seeding
MC1,F1,0.1702127659574468,0.18235243921627367,0.9386189258312021,0.14285714285714285,0.13894681102070472,2,log(x3),3. RL
MC1,F1,0.1702127659574468,0.18235243921627367,0.9386189258312021,0.14285714285714285,0.13894681102070472,2,log(x3),4. RL + Seeding
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,1. Standard
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,2. Seeding
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,3. RL
MC2,F1,0.6461538461538462,0.477866067283365,0.48,0.23529411764705882,-0.1572070363806331,1,x12,4. RL + Seeding
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x0)),1. Standard
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x15)),2. Seeding
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x15)),3. RL
MW1,F1,0.5,0.4444444444444444,0.88,0.5714285714285714,0.5379318465051987,4,log((x5 mul x0)),4. RL + Seeding
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,1. Standard
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,2. Seeding
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,3. RL
PC1,F1,0.31413612565445026,0.2747369410159248,0.7647058823529411,0.3333333333333333,0.30344312584598976,1,x4,4. RL + Seeding
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,1. Standard
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,2. Seeding
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,3. RL
PC2,F1,0.17054263565891473,0.24437959270582368,0.7310344827586207,0.09302325581395349,0.1270923694712727,1,x3,4. RL + Seeding
PC3,F1,0.4308510638297872,0.365896725228567,0.7582938388625592,0.45161290322580644,0.39472952922286636,20,((exp((((x17 add x5) sub exp(x15)) sub (cos(x0) add (x0 mul x0)))) mul exp(sin(x0))) mul x0),1. Standard
PC3,F1,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0,2. Seeding
PC3,F1,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0,3. RL
PC3,F1,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0,4. RL + Seeding
PC4,F1,0.5,0.4130663068180289,0.7795275590551181,0.40425531914893614,0.2940133263476777,7,((x3 mul 9.651) sub (x27 mul x5)),1. Standard
PC4,F1,0.5038167938931297,0.4220851965942808,0.7637795275590551,0.4,0.2890608035265323,7,((x3 mul 7.946) sub (x14 add x10)),2. Seeding
PC4,F1,0.4793814432989691,0.3897313116187608,0.7519685039370079,0.37623762376237624,0.25799047063631453,1,x3,3. RL
PC4,F1,0.4856396866840731,0.397100700534234,0.7677165354330708,0.3917525773195876,0.2780516854762238,7,((x3 mul 9.651) sub (x0 mul x24)),4. RL + Seeding
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,1. Standard
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,2. Seeding
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,3. RL
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,4. RL + Seeding
