Dataset,Acc,F1,MCC,Cplx,W_Cplx,Best_CV_Score,Model,Type,Target,Strategy,Train_F1,Train_MCC,Formula,Variant
CM1,0.8333333333333334,0.4210526315789473,0.3321819194149599,0.0,0.0,0.3637859651609782,DNN,Baseline,,,,,,
JM1,0.6308290155440415,0.4356435643564356,0.2454240001775239,0.0,0.0,0.2487666737912558,DNN,Baseline,,,,,,
KC1,0.6652360515021459,0.4657534246575342,0.2442372099259885,0.0,0.0,0.270634682615162,DNN,Baseline,,,,,,
KC3,0.8205128205128205,0.5882352941176471,0.4904412660737066,0.0,0.0,0.3780786639219556,DNN,Baseline,,,,,,
MC1,0.8414322250639387,0.0606060606060606,0.0508530126108123,0.0,0.0,0.1598355249154727,DNN,Baseline,,,,,,
MC2,0.6,0.5833333333333334,0.2721655269759087,0.0,0.0,0.4513816448749226,DNN,Baseline,,,,,,
MW1,0.84,0.4285714285714285,0.3644054444067475,0.0,0.0,0.3217639451295133,DNN,Baseline,,,,,,
PC1,0.8455882352941176,0.3225806451612903,0.257550555039693,0.0,0.0,0.3771430542897185,DNN,Baseline,,,,,,
PC2,0.7793103448275862,0.0588235294117647,0.0423804214775064,0.0,0.0,0.1807176894537347,DNN,Baseline,,,,,,
PC3,0.6587677725118484,0.3793103448275862,0.318067167411075,0.0,0.0,0.3880535973031397,DNN,Baseline,,,,,,
PC4,0.8228346456692913,0.5714285714285714,0.5203272034031762,0.0,0.0,0.5332348371579654,DNN,Baseline,,,,,,
PC5,0.7109144542772862,0.6016260162601627,0.4290960088487,0.0,0.0,0.386375631975466,DNN,Baseline,,,,,,
CM1,0.7727272727272727,0.4,0.3120471633126526,10.311111111111112,10.311111111111112,0.2664548810217909,RF,Baseline,,,,,,
JM1,0.7551813471502591,0.4568965517241379,0.3014074163151324,405.5070422535212,405.5070422535212,0.2798751736244899,RF,Baseline,,,,,,
KC1,0.776824034334764,0.4901960784313725,0.3590212466733135,166.37254901960785,166.37254901960785,0.3152673120779416,RF,Baseline,,,,,,
KC3,0.7435897435897436,0.0,-0.1350154312168304,23.37984496124031,23.37984496124031,0.3489226661309302,RF,Baseline,,,,,,
MC1,0.9718670076726342,0.1538461538461538,0.1400569952378997,32.84390243902439,32.84390243902439,0.3051695383857746,RF,Baseline,,,,,,
MC2,0.64,0.4,0.1639025170267964,17.03174603174603,17.03174603174603,0.3646323724252651,RF,Baseline,,,,,,
MW1,0.84,0.5,0.4667110645990919,14.117117117117116,14.117117117117116,0.4324534399101568,RF,Baseline,,,,,,
PC1,0.8602941176470589,0.24,0.1657442360959217,32.704918032786885,32.704918032786885,0.4186960521352351,RF,Baseline,,,,,,
PC2,0.8344827586206897,0.0,-0.0598157097063074,9.8,9.8,0.2075038619578385,RF,Baseline,,,,,,
PC3,0.7203791469194313,0.4380952380952381,0.395211750872581,13.428571428571429,13.428571428571429,0.3676695798862686,RF,Baseline,,,,,,
PC4,0.8700787401574803,0.5352112676056338,0.4597754329908371,78.02877697841727,78.02877697841727,0.6061810383157378,RF,Baseline,,,,,,
PC5,0.7374631268436578,0.5435897435897435,0.3612782667828925,117.41772151898734,117.41772151898734,0.3846486817369081,RF,Baseline,,,,,,
CM1,0.6818181818181818,0.3636363636363636,0.2842072473772133,3.0,9.0,,GP-Standard,Proposed,MCC,SIMPLE,0.3694267515923566,0.2959175417915599,log(log(x4)),1. Standard
CM1,0.8939393939393939,0.5333333333333333,0.4751484521693171,7.0,13.0,,GP-Seed,Proposed,MCC,SIMPLE,0.4675324675324675,0.38044655095024,(log(x4) mul (sqrt(x11) min x13)),2. Seeding
CM1,0.6818181818181818,0.3636363636363636,0.2842072473772133,3.0,5.0,,GP-RL,Proposed,MCC,SIMPLE,0.3694267515923566,0.2959175417915599,log(log(x4)),3. RL
CM1,0.6818181818181818,0.3636363636363636,0.2842072473772133,3.0,5.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.3694267515923566,0.2959175417915599,log(log(x4)),4. RL + Seeding
JM1,0.6968911917098446,0.4306569343065693,0.2477619190646637,7.0,9.0,,GP-Standard,Proposed,MCC,SIMPLE,0.4317207593386405,0.249572729389883,((7.941 div -0.193) add (x20 max -8.566)),1. Standard
JM1,0.7318652849740933,0.4152542372881356,0.2448259624542468,3.0,4.0,,GP-Seed,Proposed,MCC,SIMPLE,0.421015514809591,0.2520120908662874,(x11 mul x0),2. Seeding
JM1,0.7318652849740933,0.4152542372881356,0.2448259624542468,3.0,4.0,,GP-RL,Proposed,MCC,SIMPLE,0.421015514809591,0.2520120908662874,(x0 multiply x11),3. RL
JM1,0.7318652849740933,0.4152542372881356,0.2448259624542468,3.0,4.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.421015514809591,0.2520120908662874,(x0 multiply x11),4. RL + Seeding
KC1,0.7296137339055794,0.4521739130434782,0.2730125800946701,7.0,9.0,,GP-Standard,Proposed,MCC,SIMPLE,0.491869918699187,0.3099241285912872,((x16 div x8) add (x11 sub x2)),1. Standard
KC1,0.7725321888412017,0.2933333333333333,0.2711791908476425,6.0,11.0,,GP-Seed,Proposed,MCC,SIMPLE,0.3547400611620795,0.2878862865863982,log((x11 div (0.216 sub x2))),2. Seeding
KC1,0.7467811158798283,0.4587155963302752,0.296637923272512,4.0,6.0,,GP-RL,Proposed,MCC,SIMPLE,0.4678111587982833,0.2896867732411925,sqrt((x4 sub x9)),3. RL
KC1,0.721030042918455,0.4444444444444444,0.2582330084346087,1.0,1.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.4118993135011441,0.233524038013632,x11,4. RL + Seeding
KC3,0.8717948717948718,0.4444444444444444,0.49709581280096,1.0,1.0,,GP-Standard,Proposed,MCC,SIMPLE,0.490566037735849,0.3891519897487005,x3,1. Standard
KC3,0.8717948717948718,0.4444444444444444,0.49709581280096,1.0,1.0,,GP-Seed,Proposed,MCC,SIMPLE,0.490566037735849,0.3891519897487005,x3,2. Seeding
KC3,0.8717948717948718,0.4444444444444444,0.49709581280096,1.0,1.0,,GP-RL,Proposed,MCC,SIMPLE,0.490566037735849,0.3891519897487005,x3,3. RL
KC3,0.8717948717948718,0.4444444444444444,0.49709581280096,1.0,1.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.490566037735849,0.3891519897487005,x3,4. RL + Seeding
MC1,0.7749360613810742,0.0638297872340425,0.0668910562347475,1.0,1.0,,GP-Standard,Proposed,MCC,SIMPLE,0.1183098591549295,0.1744167657205004,x3,1. Standard
MC1,0.9846547314578004,0.25,0.3750457847507963,7.0,8.0,,GP-Seed,Proposed,MCC,SIMPLE,0.1818181818181818,0.2745543494066276,((1.835 mul x15) min (x3 add -6.482)),2. Seeding
MC1,0.7749360613810742,0.0638297872340425,0.0668910562347475,1.0,1.0,,GP-RL,Proposed,MCC,SIMPLE,0.1183098591549295,0.1744167657205004,x3,3. RL
MC1,0.7749360613810742,0.0638297872340425,0.0668910562347475,1.0,1.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.1183098591549295,0.1744167657205004,x3,4. RL + Seeding
MC2,0.6,0.375,0.0890870806374748,2.0,4.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5862068965517241,0.4437105884500766,sqrt(x13),1. Standard
MC2,0.56,0.3529411764705882,0.0214373231428136,12.0,24.0,,GP-Seed,Proposed,MCC,SIMPLE,0.696969696969697,0.5485509139337522,(((sqrt(x0) mul sqrt(x14)) add log(sqrt(x13))) max sqrt(x6)),2. Seeding
MC2,0.68,0.6363636363636364,0.3869763716956272,36.0,55.0,,GP-RL,Proposed,MCC,SIMPLE,0.7341772151898734,0.5716712654264562,sqrt((((x12 mul (x13 min x13)) mul (((x12 mul (x13 min x13)) mul ((x13 div x25) sub x0)) div (((x15 mul 6.025) add sqrt(x13)) max x34))) div (((x13 mul 6.025) add sqrt(x13)) max x34))),3. RL
MC2,0.64,0.5263157894736842,0.23814483610392,71.0,113.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.6764705882352942,0.5079721589671172,(((((log(x36) min (x24 sub x13)) min (sqrt(x22) min (x0 mul -9.637))) sub (log((x4 mul x31)) mul ((-8.204 mul x12) sub (-1.400 div -1.929)))) sub sqrt(log((sqrt(x10) add log(x30))))) max ((((x13 mul sqrt(3.909)) mul sqrt(log(x13))) sub (((x24 sub -0.352) div (3.442 add 2.739)) max ((x13 div x37) mul (x1 sub -0.274)))) div log(((sqrt(-4.318) max (-9.976 add x35)) max sqrt(log(x34)))))),4. RL + Seeding
MW1,0.84,0.5,0.4667110645990919,3.0,9.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5128205128205128,0.4604131045160631,log(log(x12)),1. Standard
MW1,0.84,0.5,0.4667110645990919,4.0,7.0,,GP-Seed,Proposed,MCC,SIMPLE,0.5116279069767442,0.4545141902112786,log((x26 add x2)),2. Seeding
MW1,0.78,0.4210526315789473,0.3860440160957241,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.4137931034482758,0.3483720403219641,log(x20),3. RL
MW1,0.78,0.4210526315789473,0.3860440160957241,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.4137931034482758,0.3483720403219641,log(x20),4. RL + Seeding
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,4.0,7.0,,GP-Standard,Proposed,MCC,SIMPLE,0.3548387096774194,0.3596839649373817,log((x3 sub x20)),1. Standard
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,2.0,5.0,,GP-Seed,Proposed,MCC,SIMPLE,0.3492063492063492,0.3474485556917233,log(x3),2. Seeding
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.3492063492063492,0.3474485556917233,log(x3),3. RL
PC1,0.9191176470588236,0.2666666666666666,0.2675879402834215,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.3492063492063492,0.3474485556917233,log(x3),4. RL + Seeding
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,5.0,,GP-Standard,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),1. Standard
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,5.0,,GP-Seed,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),2. Seeding
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),3. RL
PC2,0.7310344827586207,0.0930232558139534,0.1270923694712727,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.1705426356589147,0.2443795927058236,log(x3),4. RL + Seeding
PC3,0.7677725118483413,0.4615384615384615,0.4056984898740706,4.0,7.0,,GP-Standard,Proposed,MCC,SIMPLE,0.4336043360433604,0.3673900396842476,log((x3 max x0)),1. Standard
PC3,0.7677725118483413,0.4615384615384615,0.4056984898740706,4.0,7.0,,GP-Seed,Proposed,MCC,SIMPLE,0.4336043360433604,0.3673900396842476,log((x3 max x0)),2. Seeding
PC3,0.7488151658767772,0.4421052631578947,0.3841217281276888,2.0,3.0,,GP-RL,Proposed,MCC,SIMPLE,0.4196891191709844,0.3530984507846455,sqrt(x0),3. RL
PC3,0.7488151658767772,0.4421052631578947,0.3841217281276888,2.0,3.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.4196891191709844,0.3530984507846455,sqrt(x0),4. RL + Seeding
PC4,0.7795275590551181,0.5087719298245614,0.4469547773648112,3.0,3.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,(x8 min x3),1. Standard
PC4,0.7834645669291339,0.5132743362831859,0.4519430502738999,7.0,8.0,,GP-Seed,Proposed,MCC,SIMPLE,0.5236051502145923,0.4693608493823007,((x3 min x26) mul (x30 sub x0)),2. Seeding
PC4,0.7795275590551181,0.5087719298245614,0.4469547773648112,3.0,4.0,,GP-RL,Proposed,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,(x3 min x26),3. RL
PC4,0.7283464566929134,0.4732824427480916,0.418640572028122,3.0,4.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.5229007633587787,0.492570836857843,(x3 div x10),4. RL + Seeding
PC5,0.6076696165191741,0.5460750853242321,0.3436609404357899,4.0,7.0,,GP-Standard,Proposed,MCC,SIMPLE,0.5421686746987951,0.337600367796258,log((x21 add x9)),1. Standard
PC5,0.6371681415929203,0.5591397849462365,0.3634904209234658,12.0,23.0,,GP-Seed,Proposed,MCC,SIMPLE,0.5508771929824562,0.3524192330397279,(sqrt((x21 mul x17)) mul (log((x9 max 1.533)) mul log(-4.786))),2. Seeding
PC5,0.6696165191740413,0.5172413793103449,0.2964871538929904,3.0,4.0,,GP-RL,Proposed,MCC,SIMPLE,0.5288683602771362,0.32359708246231,(x9 multiply x3),3. RL
PC5,0.5988200589970502,0.5310344827586206,0.3131318898171956,3.0,4.0,,GP-RL+Seed,Proposed,MCC,SIMPLE,0.5411558669001751,0.3339573852724904,(x10 multiply x27),4. RL + Seeding
